year,month,day,Site,Latitude,Longitude,Elevation,Precip,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,total_butterly_count,Unique_butterflies,PartyHours,X.Parties,tmean_previous30,tmax_previous30,tmin_previous30,PrecipSum_previous30,tmean_previous90,tmax_previous90,tmin_previous90,tmean_previous365,tmax_previous365,tmin_previous365,PrecipSum_previous90,PrecipSum_previous365,Group_Thirty,Group_Twentyeight,Previous30_above30,Previous90_above30,Previous365_above30,Previous30_above28,Previous90_above28,Previous365_above28
1983,7,30,AtascosaHighlandsAZ,31.48,-111.16,1353,2.25,20,26.5,32.9,13.2,6.9,36.4,1568,67,26,4,25.563333333333333,38.7,15.6,100.6,22.825555555555557,38.7,4.8,16.156986301369862,38.7,-5.2,105.73,669.17,1,1,NA,NA,NA,NA,NA,NA
1984,8,5,AtascosaHighlandsAZ,31.48,-111.16,1353,8.02,18.3,25.1,31.8,14.4,4.61,31.33,4979,79,41,5,24.05666666666667,33.2,16.5,232.78,23.993333333333332,35.7,11.4,16.895616438356164,36.1,-3.6,307.64,859.52,1,1,NA,NA,NA,NA,NA,NA
1985,8,17,AtascosaHighlandsAZ,31.48,-111.16,1353,0,15.7,24.2,32.6,10.6,3.8,37.93,3933,67,22,3,23.726666666666667,34,12.8,120.39,24.24,39.4,8.2,15.984109589041095,39.4,-8.7,197.53,679.61,1,1,NA,NA,NA,NA,NA,NA
1986,8,30,AtascosaHighlandsAZ,31.48,-111.16,1353,3.32,14.7,21.5,28.3,19.2,0,16.11,4266,68,35,5,24.91,37.9,14.7,168.6,24.657777777777778,37.9,12.4,16.81205479452055,37.9,-4.5,327.3,663.14,0,1,NA,NA,NA,NA,NA,NA
1987,8,22,AtascosaHighlandsAZ,31.48,-111.16,1353,1.72,16.8,23.1,29.5,14.3,3,26.06,3197,64,35,4,23.973333333333333,36,13.1,199.38,23.612222222222222,37,5,15.905205479452055,37,-8.6,232.94,527.82,0,1,NA,NA,NA,NA,NA,NA
1988,8,13,AtascosaHighlandsAZ,31.48,-111.16,1353,0,16,23.9,31.8,14.1,0.59,31.3,2788,74,33.5,4,24.12,35.3,15.4,167.75,23.95111111111111,38.9,5.4,16.272328767123287,38.9,-8.8,226.8,623.29,1,1,NA,NA,NA,NA,NA,NA
1989,8,20,AtascosaHighlandsAZ,31.48,-111.16,1353,0,18.2,23.8,29.3,15.9,2.45,23.34,1934,77,56,7,24.743333333333332,34.5,16,102.03999999999999,25.24222222222222,39.9,9.4,17.305753424657535,39.9,-9.3,145.96,433.64,0,1,NA,NA,NA,NA,NA,NA
1990,8,18,AtascosaHighlandsAZ,31.48,-111.16,1353,0,14.3,21.6,28.9,13.9,1.42,24.08,8419,92,50,6,22.753333333333334,33.1,14.1,111.58,24.04111111111111,41.2,8.7,16.510684931506848,41.2,-8.2,316.5,561.21,0,1,NA,NA,NA,NA,NA,NA
1991,8,10,AtascosaHighlandsAZ,31.48,-111.16,1353,7.62,17.1,23.8,30.5,13.8,2.82,29.23,964,66,43.5,5,24.93,34.4,15.2,44.2,22.787777777777777,36.8,6.7,15.87013698630137,36.8,-9.8,81.4,520.74,1,1,NA,NA,NA,NA,NA,NA
1992,8,16,AtascosaHighlandsAZ,31.48,-111.16,1353,0,18.4,26.5,34.6,12.6,7.26,40.84,4470,97,62,8,24.516666666666666,36.6,15.2,95.99,23.465555555555554,38.6,6.6,16.382191780821916,38.6,-4.9,173.64,578.87,1,1,NA,NA,NA,NA,NA,NA
1993,8,14,AtascosaHighlandsAZ,31.48,-111.16,1353,19.72,18.6,25.4,32.3,13.5,2.76,36.05,1641,73,45,5,25.233333333333334,36.5,14.3,73.37,24.33222222222222,38.8,6.1,16.653424657534245,38.8,-5.4,161.95,750.31,1,1,NA,NA,NA,NA,NA,NA
1994,8,13,AtascosaHighlandsAZ,31.48,-111.16,1353,4.44,19.7,25.9,32.2,15.4,4.91,32.3,3570,64,28,4,26.35333333333333,37.5,16,57.57,25.637777777777778,40.8,7.8,16.903287671232878,40.8,-4.6,87.1,503.65000000000003,1,1,NA,NA,NA,NA,NA,NA
1995,8,20,AtascosaHighlandsAZ,31.48,-111.16,1353,11.04,17.2,23.3,29.3,16.5,0.8,20.36,2571,75,51,7,26.833333333333332,40.3,16.2,109.21,24.122222222222224,40.3,6.1,16.41068493150685,40.3,-5,152.26,702.74,0,1,NA,NA,NA,NA,NA,NA
1996,8,18,AtascosaHighlandsAZ,31.48,-111.16,1353,3.31,17.9,25.6,33.4,13,4.1,36.67,7958,67,42,7,26.013333333333332,36.4,16.6,107.03,25.255555555555556,38.1,7.7,18.076438356164385,38.1,-4.5,196.75,415.4,1,1,NA,NA,NA,NA,NA,NA
1997,8,16,AtascosaHighlandsAZ,31.48,-111.16,1353,1.71,16.7,23.4,30.1,13.8,3.93,26.92,5295,80,49,6,25.24,36.1,16.2,122.38,24.65888888888889,38.9,10,16.95205479452055,38.9,-7.1,134.34,470.62,1,1,NA,NA,NA,NA,NA,NA
1998,8,15,AtascosaHighlandsAZ,31.48,-111.16,1353,1.1,17.2,23.5,29.9,15.7,2.48,25.76,4087,85,53.5,6,25.05,36.5,16.6,202.5,23.986666666666668,39,8.2,16.033424657534248,39,-5.1,287.1,777.81,0,1,NA,NA,NA,NA,NA,NA
1999,8,14,AtascosaHighlandsAZ,31.48,-111.16,1353,0.27,15.9,25,34.1,11.7,3.42,39.99,3688,79,64,7,23.43,34.1,15.4,147.96,23.635555555555555,38,6.9,16.90082191780822,38,-5.6,219.32,473.18,1,1,NA,NA,NA,NA,NA,NA
2000,8,19,AtascosaHighlandsAZ,31.48,-111.16,1353,0,17.3,23.8,30.4,15.5,1.84,27.13,8752,73,65,9,26.15,36.6,17,108.37,25.564444444444444,38.4,13,17.971780821917807,38.4,-5.2,206.27,348.35,1,1,NA,NA,NA,NA,NA,NA
2001,8,18,AtascosaHighlandsAZ,31.48,-111.16,1353,2.91,17.3,24.3,31.3,15.5,2.17,27.87,6071,79,56,6,24.35333333333333,34.5,16.6,112.52,24.635555555555555,38.4,10.6,16.332876712328765,38.4,-5.5,221.94,781.12,1,1,NA,NA,NA,NA,NA,NA
1980,7,19,AtascosaHighlandsAZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,42,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,8,11,BoyceThompsonArboretum,33.295,-111.0946,1087,0,22.6,29,35.5,15.2,9.53,42.47,321,31,15,3,27.823333333333334,39.6,19.3,97.01000000000002,27.456666666666667,41.4,13.8,18.77068493150685,41.4,-6.8,99.02000000000001,322.35,1,1,NA,NA,NA,NA,NA,NA
2009,9,12,BoyceThompsonArboretum,33.295,-111.0946,1087,0,20.8,27.5,34.2,10.7,10.98,41.85,148,30,9.5,4,27.83,38.5,18.8,21.380000000000017,28.64888888888889,39.9,16.7,19.41068493150685,39.9,-3.7,84.78000000000002,424.14000000000004,1,1,NA,NA,NA,NA,NA,NA
2010,9,11,BoyceThompsonArboretum,33.295,-111.0946,1087,0,15.3,22.9,30.4,0,11.02,38.29,1083,55,12,3,27.87666666666667,38.2,15.3,30.220000000000013,28.283333333333335,40.1,14.3,18.16931506849315,40.1,-1.7,152.16000000000003,631.85,1,1,NA,NA,NA,NA,NA,NA
2011,9,10,BoyceThompsonArboretum,33.295,-111.0946,1087,10.69,18,24.9,31.7,10.7,5.1,35.78,516,41,25,4,29.63,40.1,18,51.98000000000001,29.331111111111113,40.9,17,19.0813698630137,40.9,-9.9,147.01000000000002,394.32000000000005,1,1,NA,NA,NA,NA,NA,NA
2012,9,15,BoyceThompsonArboretum,33.295,-111.0946,1087,0,17.6,22.3,27,5.6,10.39,27.19,415,41,14,3,26.386666666666667,35.8,17.1,58.61000000000002,28.328888888888887,40.3,17.1,19.017534246575345,40.3,-3.3,112.56000000000002,341.85,0,0,NA,NA,NA,NA,NA,NA
2013,9,7,BoyceThompsonArboretum,33.295,-111.0946,1087,1.35,21.2,28.4,35.7,11.5,7.53,47.12,343,37,16,3,28.466666666666665,38.7,19.6,35.09000000000002,28.529999999999998,41.2,19,19.10246575342466,41.2,-7.7,84.23000000000002,332.54,1,1,NA,NA,NA,NA,NA,NA
2014,9,6,BoyceThompsonArboretum,33.295,-111.0946,1087,0.91,19.9,26.1,32.3,14.5,4.57,33.94,638,35,10.5,3,26.78666666666667,36.3,18,127.53000000000002,27.97555555555556,38.3,18,19.17232876712329,38.3,-2.1,289.91,507.44000000000005,1,1,NA,NA,NA,NA,NA,NA
2015,9,12,BoyceThompsonArboretum,33.295,-111.0946,1087,0,19.2,26.3,33.5,14.1,4.33,37.29,515,40,12,3,27.73,40.3,18,50.09000000000001,28.414444444444445,40.3,18,19.244383561643836,40.3,-3.9,126.22000000000001,497.50000000000006,1,1,NA,NA,NA,NA,NA,NA
2016,9,10,BoyceThompsonArboretum,33.295,-111.0946,1087,0,20.1,26.7,33.3,13,5.18,37.98,1085,36,7,3,26.653333333333332,37.3,17.6,21.940000000000012,28.278888888888886,42.8,17.6,18.838082191780824,42.8,-3.7,82.58000000000001,371.05,1,1,NA,NA,NA,NA,NA,NA
2017,9,9,BoyceThompsonArboretum,33.295,-111.0946,1087,6.07,19.7,26.4,33.2,12.7,3.57,38.7,1185,42,12,4,27.996666666666666,36.9,18.7,20.32000000000001,28.554444444444446,42.7,14.7,19.566849315068495,42.7,-2.4,136.04000000000002,486.95000000000005,1,1,NA,NA,NA,NA,NA,NA
2018,9,8,BoyceThompsonArboretum,33.295,-111.0946,1087,0,20.8,27.5,34.3,11,11.12,41.66,1416,35,9,3,27.110000000000003,37.1,18.2,80.27000000000001,28.45111111111111,40.5,16.5,20.224383561643837,40.5,-2.3,152.63000000000002,205.20000000000005,1,1,NA,NA,NA,NA,NA,NA
2019,9,7,BoyceThompsonArboretum,33.295,-111.0946,1087,0,24.9,30.7,36.5,13.2,15.41,47.82,176,20,10,4,29.67,39.9,19.8,24.150000000000006,29.192222222222224,39.9,17.4,18.421917808219177,39.9,-4.2,54.930000000000014,422.8,1,1,NA,NA,NA,NA,NA,NA
2020,9,12,BoyceThompsonArboretum,33.295,-111.0946,1087,0,16.8,22.1,27.4,7.7,8.7,26.06,31,15,7.5,3,29.720000000000002,40.8,15,17.74000000000001,29.71222222222222,41.7,15,19.207671232876713,41.7,-2.9,20.310000000000016,433.47,0,0,NA,NA,NA,NA,NA,NA
2021,9,11,BoyceThompsonArboretum,33.295,-111.0946,1087,0,21.7,28.8,36,9.6,9.2,48.13,4929,34,7,3,26.823333333333334,37.1,18.5,110.50000000000001,28.227777777777778,41.2,18.4,19.45205479452055,41.2,-0.8,237.03000000000003,385.16,1,1,NA,NA,NA,NA,NA,NA
2017,9,4,Cottonwood,34.738,-112.0353,1071,0,18.9,28,37.2,9.2,8.37,55.01,358,39,8,2,26.413333333333334,38.7,12.5,56.31000000000001,27.423333333333332,44.9,7.4,17.416986301369864,44.9,-5.8,172.12,448.91,1,1,NA,NA,NA,NA,NA,NA
2018,8,30,Cottonwood,34.738,-112.0353,1071,0,14,24.6,35.1,7.6,6.29,46.55,103,20,7,1,27.046666666666667,41,14,66.80000000000001,27.372222222222224,42.7,12.4,17.93013698630137,42.7,-7.1,172.64000000000001,239.58,1,1,NA,NA,NA,NA,NA,NA
2019,8,29,Cottonwood,34.738,-112.0353,1071,3.32,19.3,27.9,36.6,13.5,3.66,46.49,180,36,11,2,28.46333333333333,40.9,16.1,27.69000000000001,27.305555555555557,41.5,10.1,16.334246575342465,41.5,-11.7,36.4,304.02,1,1,NA,NA,NA,NA,NA,NA
2020,8,26,Cottonwood,34.738,-112.0353,1071,0.01,20.2,30.1,40.1,12.5,8.74,61.34,161,26,20,5,30.05,44.5,15.6,7.110000000000011,28.020000000000003,44.5,6.8,17.08876712328767,44.5,-6.5,22.240000000000002,365.93,1,1,NA,NA,NA,NA,NA,NA
2021,8,26,Cottonwood,34.738,-112.0353,1071,0,17.8,28.4,38.9,10.7,7.32,58.49,612,34,25,4,26.59,40.5,15.2,41.22000000000001,27.27444444444444,45.1,11.5,17.26931506849315,45.1,-6.4,187.36,270.86,1,1,NA,NA,NA,NA,NA,NA
2019,7,25,GrandCanyonNorthRim,36.1954,-112.0374,2112,0,13.2,21.3,29.5,10.4,3.6,29.8,81,21,6,1,21.759999999999998,33.9,9.9,3.259999999999997,15.826666666666668,33.9,-0.5,9.772876712328769,33.9,-16.7,98.85,669.6400000000001,0,1,NA,NA,NA,NA,NA,NA
2021,7,31,GrandCanyonNorthRim,36.1954,-112.0374,2112,3.19,13,18.9,24.9,12.6,1.11,18.05,292,26,126,4,23.146666666666665,37,13,77.92999999999999,20.087777777777777,37,0.2,11.878082191780821,37,-11.2,85.6,293.0900000000001,0,0,NA,NA,NA,NA,NA,NA
2014,9,6,GrandCanyonSouthRim,35.989,-112.1221,2061,1.42,9.1,17.6,26.1,9.8,0.72,21.77,132,18,26.5,7,17.75,31.5,6.6,67.74000000000001,19.04888888888889,33.9,4.2,9.487397260273971,33.9,-22.6,132.48,275.11,0,0,NA,NA,NA,NA,NA,NA
2015,8,16,GrandCanyonSouthRim,35.989,-112.1221,2061,0,13,21.8,30.7,10.3,1.97,33.43,223,22,6,4,19.033333333333335,32.3,8.6,90.41,17.93777777777778,34.2,-0.7,9.849315068493151,34.2,-16.6,163.27999999999997,477.51,1,1,NA,NA,NA,NA,NA,NA
1986,8,4,GuadalupeCanyonAZNM,31.33,-109.07,NA,NA,NA,NA,NA,NA,NA,NA,400,64,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,9,20,McDowellSonoranPreserve,33.7041,-111.7791,755,0,24.5,28.6,32.8,16.8,8.26,32.81,236,31,8,4,28.63,37.6,18,79.79,30.125555555555554,40.9,18,21.595342465753422,40.9,-0.4,194.34999999999997,343.08,1,1,NA,NA,NA,NA,NA,NA
2015,10,3,McDowellSonoranPreserve,33.7041,-111.7791,755,0,19.6,26.1,32.7,3.1,15.22,42.27,49,21,14.5,5,29.09,38.2,19.6,9.650000000000015,30.77111111111111,42.6,19.6,22.249589041095888,42.6,-0.7,41.93999999999997,258.8,1,1,NA,NA,NA,NA,NA,NA
2016,9,17,McDowellSonoranPreserve,33.7041,-111.7791,755,0,20,26.5,33,-2.9,18.22,45.87,153,20,12.5,4,28.98,37.4,19,12.940000000000014,31.30333333333333,44.8,19,21.802191780821914,44.8,-0.1,78.839999999999975,219.94,1,1,NA,NA,NA,NA,NA,NA
2017,9,23,McDowellSonoranPreserve,33.7041,-111.7791,755,0,16.6,22.3,27.9,3,10.4,28.81,60,13,13.5,5,30.603333333333335,40.1,16.6,1.9100000000000128,31.218888888888888,43.1,16.6,22.341643835616438,44.5,2,58.18999999999997,301.65999999999997,0,0,NA,NA,NA,NA,NA,NA
2018,9,29,McDowellSonoranPreserve,33.7041,-111.7791,755,0,23.5,29.7,36,4.4,20.89,51.95,1470,26,14,5,30.586666666666666,39.5,21.2,3.8200000000000123,31.36333333333333,42.8,21.2,23.049589041095892,42.8,1.1,124.13999999999997,178.05999999999997,1,1,NA,NA,NA,NA,NA,NA
2019,9,28,McDowellSonoranPreserve,33.7041,-111.7791,755,0,19,23.1,27.3,14.9,4.15,20.43,33,18,14.5,6,29.403333333333332,40.6,18.3,66.00000000000001,31.64111111111111,42.3,18.3,20.96849315068493,42.3,-1.5,98.51999999999997,480.53999999999996,0,0,NA,NA,NA,NA,NA,NA
2020,9,26,McDowellSonoranPreserve,33.7041,-111.7791,755,0,23.6,30.4,37.3,4.9,18.77,55.03,4,4,10,6,30.986666666666668,42.6,18,6.960000000000016,32.73,44.2,18,21.983835616438355,44.2,0.3,21.969999999999963,311.74,1,1,NA,NA,NA,NA,NA,NA
2021,9,25,McDowellSonoranPreserve,33.7041,-111.7791,755,0,22.7,26.5,30.3,11.4,8.83,30.65,9580,40,28.5,6,30.69,40.6,21.2,18.990000000000016,30.607777777777777,41.8,20.3,22.48821917808219,43.3,1.4,263.01,336.71,1,1,NA,NA,NA,NA,NA,NA
1986,8,23,PatagoniaAZ,31.5073,-110.7331,1434,2.7,17.9,26.4,35,14.3,2.37,39.59,4454,76,54,6,25.08,37.6,14.1,117.19,23.915555555555557,37.6,10.2,16.135890410958904,37.9,-4.9,254.79000000000002,591.13,1,1,NA,NA,NA,NA,NA,NA
1987,8,15,PatagoniaAZ,31.5073,-110.7331,1434,0,15.8,22.6,29.5,10.6,5.42,29.64,1440,70,54,5,23.853333333333335,36.3,14.4,169.25,22.691111111111113,36.4,4.6,15.115616438356163,36.4,-10.1,190.60000000000002,537.61,0,1,NA,NA,NA,NA,NA,NA
1988,8,6,PatagoniaAZ,31.5073,-110.7331,1434,0.22,17.1,21.6,26.1,17.7,0.09,13.3,1856,75,52,6,23.990000000000002,35.3,15.2,171.10999999999999,23.057777777777776,38.1,2.9,15.413698630136986,38.1,-10.1,194.18,540.28,0,0,NA,NA,NA,NA,NA,NA
1989,8,13,PatagoniaAZ,31.5073,-110.7331,1434,0,19.1,25,31,16.4,3.28,27.69,1741,88,65,8,24.896666666666665,36.5,14.8,91.88,24.137777777777778,39.5,6.7,16.51753424657534,39.5,-10.3,108.65000000000002,434.39,1,1,NA,NA,NA,NA,NA,NA
1990,8,11,PatagoniaAZ,31.5073,-110.7331,1434,12.91,15.9,23.3,30.7,11.6,3.64,34.31,3074,80,37,6,22.793333333333333,32.5,14.8,198.6,23.486666666666668,40.3,7.9,16.006027397260272,40.3,-8.5,304.54,531.6,1,1,NA,NA,NA,NA,NA,NA
1991,8,6,PatagoniaAZ,31.5073,-110.7331,1434,0,17.1,23.7,30.2,10.7,6.22,29.62,3386,91,61,7,24.19333333333333,33.7,15.2,36.849999999999994,22.014444444444443,36.6,5.6,15.311506849315068,36.6,-8.9,60.11000000000001,481.43,1,1,NA,NA,NA,NA,NA,NA
1992,8,9,PatagoniaAZ,31.5073,-110.7331,1434,0,17.1,22.8,28.5,14.4,3.93,23.22,4240,100,56.5,7,23.49,35.7,13.5,102.52999999999999,22.614444444444445,38.2,6.8,15.837808219178083,38.2,-4.6,214.44,667.92,0,1,NA,NA,NA,NA,NA,NA
1993,8,7,PatagoniaAZ,31.5073,-110.7331,1434,3.3,17.4,24,30.6,16.7,0.57,26,3253,96,55,6,24.106666666666666,36.1,13.1,88.17999999999999,23.36,37.9,6.3,16.117260273972605,37.9,-6.4,125.07000000000001,669.14,1,1,NA,NA,NA,NA,NA,NA
1994,8,6,PatagoniaAZ,31.5073,-110.7331,1434,0,19.1,26.9,34.6,10.7,10.61,44.29,2640,86,75,7,26.19333333333333,37.6,15,37.71999999999999,24.32,40.2,6.3,16.344383561643834,40.2,-5.9,66.11000000000001,430.78000000000003,1,1,NA,NA,NA,NA,NA,NA
1995,8,13,PatagoniaAZ,31.5073,-110.7331,1434,7.97,18.1,25.3,32.5,14.7,2.7,32.29,5477,89,60,1,26.626666666666665,40.3,16.1,65.69,23.314444444444447,40.3,5.8,15.987397260273971,40.3,-5.4,69.10000000000001,531.61,1,1,NA,NA,NA,NA,NA,NA
1996,8,11,PatagoniaAZ,31.5073,-110.7331,1434,0.83,17.7,23.8,29.9,14.6,3.71,26.13,1756,75,40,5,25.29,36.4,16.5,68.72,24.581111111111113,37.8,7.4,17.51150684931507,37.8,-5.7,145.75,357.43,0,1,NA,NA,NA,NA,NA,NA
1997,8,9,PatagoniaAZ,31.5073,-110.7331,1434,0,17.9,24.4,30.9,14.7,3.47,26.98,5000,81,51,5,25.19333333333333,38,14.3,76.99,24.183333333333334,38.9,10.5,16.436438356164384,38.9,-8,93.72000000000001,319,1,1,NA,NA,NA,NA,NA,NA
1998,8,8,PatagoniaAZ,31.5073,-110.7331,1434,0,17.1,24.4,31.6,14.8,4.47,32.17,5886,96,66.5,6,25.706666666666663,38.5,16.6,67.21,23.18777777777778,39.1,4.7,15.834246575342465,39.1,-4.5,153.57000000000002,629.51,1,1,NA,NA,NA,NA,NA,NA
1999,8,9,PatagoniaAZ,31.5073,-110.7331,1434,19.21,14.9,23.4,32,14.7,0.53,32.18,2573,87,72.5,9,22.813333333333333,32.9,14.5,120.6,22.994444444444444,37.3,7.3,16.476438356164383,37.3,-5.4,228,456.54,1,1,NA,NA,NA,NA,NA,NA
2000,8,12,PatagoniaAZ,31.5073,-110.7331,1434,25.02,16.7,21,25.4,17.2,0.58,13.97,11347,84,64,8,25.453333333333333,36.9,15.6,75.41,24.23777777777778,37.9,6.9,17.10931506849315,37.9,-5.8,192.8,333.15000000000003,0,0,NA,NA,NA,NA,NA,NA
2001,8,11,PatagoniaAZ,31.5073,-110.7331,1434,1.65,17.2,23,28.8,17.7,0.49,19.83,6171,98,75,7,23.646666666666665,33.7,15.5,123.98,23.627777777777776,37.5,9.7,15.645753424657533,37.5,-6.6,188.07,729.09,0,1,NA,NA,NA,NA,NA,NA
2002,8,10,PatagoniaAZ,31.5073,-110.7331,1434,0,18.1,25.1,32,15.5,3.02,31.63,747,54,47.5,6,23.973333333333333,35.9,15.6,134.27,24.34777777777778,38.9,6,16.745753424657533,38.9,-9.1,139.8,327.14,1,1,NA,NA,NA,NA,NA,NA
2003,8,9,PatagoniaAZ,31.5073,-110.7331,1434,0.09,19,26.6,34.1,14.1,4,38.11,3310,78,43.5,6,25.633333333333333,37.8,16,152.54,24.87666666666667,38.5,5.6,16.64246575342466,38.5,-5.4,156.95000000000002,350.72,1,1,NA,NA,NA,NA,NA,NA
2004,8,7,PatagoniaAZ,31.5073,-110.7331,1434,2.05,16.4,23.1,29.8,14.7,1.47,25.22,3353,91,38,5,24.606666666666666,35.4,14.9,159.72,23.18555555555556,37.1,7.8,16.651232876712328,37.1,-9.4,170.03,474.68,0,1,NA,NA,NA,NA,NA,NA
2005,8,6,PatagoniaAZ,31.5073,-110.7331,1434,0.04,18,23.5,29,14.6,2.79,25.4,2860,76,61.5,10,25.423333333333332,38.5,15.7,138.16,24.174444444444443,39.1,5.6,16.064109589041095,39.1,-6,154.12,412.47,0,1,NA,NA,NA,NA,NA,NA
2006,8,5,PatagoniaAZ,31.5073,-110.7331,1434,0.73,16.7,20.8,24.9,17,0.61,12.57,2179,70,35,6,25.36,37,15.2,138.55,24.61777777777778,37.9,9.1,17.09205479452055,37.9,-6,202.63000000000002,330.02,0,0,NA,NA,NA,NA,NA,NA
2007,8,18,PatagoniaAZ,31.5073,-110.7331,1434,0,18.2,25.6,33,13.8,5.06,36.81,2430,85,58,7,22.983333333333334,33.8,15.5,255.16,24.261111111111113,38.7,10.6,16.267945205479453,38.7,-9.5,297.8,511.54,1,1,NA,NA,NA,NA,NA,NA
